Sno,Song,Artist,ArtistID,acousticness,danceability,liveness,loudness,speechiness,valence,energy
64,American Superstar (feat. Lil Wayne),Flo Rida,11,0.0862,0.703,0.119,-4.823,0.0674,0.421,0.784
65,Elevator (feat. Timbaland),Flo Rida,11,0.109,0.812,0.214,-6.015,0.0905,0.47,0.874
66,31 Minutes to Takeoff,Mike Posner,12,0.851,0.686,0.066,-11.767,0.0312,0.34,0.422
67,Please Don't Go,Mike Posner,12,0.00296,0.699,0.13,-3.896,0.0311,0.657,0.882
68,Bow Chicka Wow Wow,Mike Posner,12,0.318,0.626,0.0429,-5.381,0.0534,0.523,0.67
69,"At Night, Alone.",Mike Posner,12,0.332,0,0.217,-30.674,0,0,0.0319
70,I Took a Pill in Ibiza,Mike Posner,12,0.0347,0.671,0.0801,-13.669,0.102,0.755,0.541
71,Not That Simple,Mike Posner,12,0.0912,0.717,0.156,-8.348,0.0632,0.529,0.807
72,Drug Dealer Girl,Mike Posner,12,0.0546,0.845,0.108,-4.003,0.0798,0.455,0.566
73,Cooler Than Me,Mike Posner,12,0.179,0.768,0.704,-4.63,0.0475,0.625,0.82
74,Red Button,Mike Posner,12,0.0452,0.888,0.102,-4.47,0.202,0.781,0.592
75,Like a G6,Far East Movement,13,0.00676,0.435,0.117,-8.126,0.449,0.778,0.837
76,Like a G6,Far East Movement,13,0.00676,0.435,0.117,-8.126,0.449,0.778,0.837
77,Live My Life (feat. Justin Bieber),Far East Movement,13,0.00223,0.831,0.189,-9.423,0.0503,0.588,0.367
78,Intro,Usher,14,0.224,0.358,0.412,-13.984,0.0458,0.215,0.459
79,Yeah!,Usher,14,0.0183,0.894,0.0388,-4.699,0.112,0.583,0.791
80,Throwback (feat. Jadakiss),Usher,14,0.000542,0.655,0.136,-5.451,0.129,0.319,0.751
81,Scream,Usher,14,0.00117,0.616,0.179,-5.18,0.0973,0.569,0.862
82,Climax,Usher,14,0.547,0.647,0.156,-8.837,0.0782,0.333,0.478
83,You Make Me Wanna...,Usher,14,0.0359,0.761,0.0945,-7.577,0.0539,0.922,0.639
84,Just Like Me,Usher,14,0.00939,0.645,0.899,-9.611,0.0615,0.803,0.658
85,Nice & Slow,Usher,14,0.153,0.819,0.3,-11.964,0.122,0.515,0.299
86,Intro,Sean Kingston,15,0.303,0.617,0.561,-8.501,0.169,0.43,0.605
87,Kingston,Sean Kingston,15,0.0279,0.589,0.323,-4.961,0.252,0.798,0.938
88,Take You There,Sean Kingston,15,0.0182,0.752,0.256,-4.321,0.0696,0.634,0.921
89,Intro,Sean Kingston,15,0.303,0.617,0.561,-8.501,0.169,0.43,0.605
90,Kingston,Sean Kingston,15,0.0279,0.589,0.323,-4.961,0.252,0.798,0.938
91,Take You There,Sean Kingston,15,0.0182,0.752,0.256,-4.321,0.0696,0.634,0.921
92,Back 2 Life (Live It Up) [feat. T.I.],Sean Kingston,15,0.0441,0.641,0.138,-4.519,0.0474,0.093,0.837
93,Beat It (feat. Chris Brown & Wiz Khalifa),Sean Kingston,15,0.00487,0.477,0.284,-5.386,0.109,0.555,0.637
94,Hold That (feat. Yo Gotti),Sean Kingston,15,0.41,0.77,0.131,-4.166,0.0309,0.76,0.694
95,Boom Boom Pow,The Black Eyed Peas,16,0.00296,0.896,0.151,-8.275,0.226,0.594,0.71
96,Rock That Body,The Black Eyed Peas,16,0.00147,0.667,0.346,-10.418,0.0432,0.606,0.569
97,Meet Me Halfway,The Black Eyed Peas,16,0.0113,0.774,0.11,-6.848,0.0633,0.42,0.574
98,Pump It,The Black Eyed Peas,16,0.000628,0.736,0.325,-3.401,0.145,0.755,0.824
99,The Time (Dirty Bit),The Black Eyed Peas,16,0.0339,0.799,0.0892,-12.642,0.0523,0.679,0.676
100,Music Again,Adam Lambert,17,0.00125,0.632,0.312,-3.476,0.0457,0.839,0.875
101,For Your Entertainment,Adam Lambert,17,0.0463,0.657,0.0823,-3.876,0.104,0.629,0.87
102,Whataya Want from Me,Adam Lambert,17,0.00706,0.44,0.0593,-4.732,0.0489,0.445,0.683
103,Trespassing,Adam Lambert,17,0.000397,0.874,0.128,-5.263,0.0467,0.826,0.612
104,Cuckoo,Adam Lambert,17,0.000957,0.673,0.155,-5.305,0.0453,0.817,0.724
105,Music Again,Adam Lambert,17,0.00125,0.632,0.312,-3.476,0.0457,0.839,0.875
106,For Your Entertainment,Adam Lambert,17,0.0463,0.657,0.0823,-3.876,0.104,0.629,0.87
107,Whataya Want from Me,Adam Lambert,17,0.00706,0.44,0.0593,-4.732,0.0489,0.445,0.683
108,If I Never See Your Face Again,Maroon 5,18,0.017,0.745,0.281,-2.446,0.0374,0.936,0.867
109,Makes Me Wonder,Maroon 5,18,0.00485,0.803,0.0577,-2.429,0.0357,0.881,0.851
110,Little of Your Time,Maroon 5,18,0.0658,0.686,0.104,-2.532,0.0801,0.965,0.963
111,Harder To Breathe,Maroon 5,18,0.0676,0.662,0.045,-4.622,0.0542,0.966,0.899
112,This Love,Maroon 5,18,0.0525,0.712,0.093,-4.612,0.0378,0.809,0.862
113,Shiver,Maroon 5,18,0.0421,0.625,0.865,-4.435,0.342,0.515,0.925
114,One More Night,Maroon 5,18,0.0558,0.716,0.0844,-3.435,0.0314,0.618,0.821
115,Daylight,Maroon 5,18,0.00242,0.656,0.255,-5.473,0.0269,0.369,0.674
116,Sins of My Youth,Neon Trees,19,5.89E-05,0.424,0.279,-5.016,0.0423,0.617,0.812
117,Love and Affection,Neon Trees,19,0.000201,0.538,0.103,-3.835,0.0372,0.69,0.853
118,Animal,Neon Trees,19,0.00034,0.482,0.378,-5.576,0.0437,0.739,0.829
119,Moving In the Dark,Neon Trees,19,0.000858,0.52,0.227,-5.434,0.0474,0.759,0.789
120,Teenage Sounds,Neon Trees,19,7.20E-06,0.423,0.175,-3.765,0.0543,0.572,0.952
121,Everybody Talks,Neon Trees,19,0.00301,0.471,0.313,-3.906,0.0586,0.725,0.924
122,Love In the 21st Century,Neon Trees,19,0.00195,0.573,0.123,-3.424,0.0546,0.95,0.915
123,Text Me In the Morning,Neon Trees,19,0.00582,0.595,0.345,-3.473,0.0277,0.71,0.788
124,Sleeping With a Friend,Neon Trees,19,0.00209,0.579,0.323,-4.255,0.036,0.486,0.888
125,When the Sun Goes Down,Selena Gomez & The Scene,20,0.0892,0.68,0.0353,-3.829,0.0767,0.89,0.799
126,Round & Round,Selena Gomez & The Scene,20,0.00242,0.537,0.584,-4.065,0.0705,0.572,0.691
127,A Year Without Rain,Selena Gomez & The Scene,20,0.0125,0.627,0.111,-5.296,0.0431,0.409,0.81
128,Rock God,Selena Gomez & The Scene,20,0.0437,0.743,0.0759,-3.421,0.166,0.841,0.873
129,Ring My Bells,Enrique Iglesias,21,0.114,0.815,0.0923,-6.926,0.0353,0.428,0.633
130,Do You Know? (The Ping Pong Song),Enrique Iglesias,21,0.0503,0.755,0.0326,-4.328,0.0486,0.691,0.765
131,I Like It (feat. Pitbull),Enrique Iglesias,21,0.333,0.709,0.0656,-7.934,0.0287,0.801,0.669
132,Roar,Katy Perry,22,0.00487,0.554,0.354,-4.821,0.0418,0.455,0.772
133,Legendary Lovers,Katy Perry,22,0.0224,0.623,0.078,-4.788,0.0846,0.386,0.836
134,Birthday,Katy Perry,22,0.0879,0.719,0.112,-5.122,0.0681,0.843,0.674
135,One of the Boys,Katy Perry,22,0.00201,0.564,0.0818,-2.393,0.0522,0.675,0.91
136,I Kissed a Girl,Katy Perry,22,0.00223,0.699,0.132,-3.173,0.0677,0.696,0.76
137,Waking Up In Vegas,Katy Perry,22,0.0012,0.524,0.098,-3.108,0.0346,0.59,0.878
138,Teenage Dream,Katy Perry,22,0.0162,0.719,0.134,-4.582,0.0361,0.591,0.798
139,Last Friday Night (T.G.I.F.),Katy Perry,22,0.00125,0.652,0.667,-3.797,0.0409,0.72,0.812
140,California Gurls (feat. Snoop Dogg),Katy Perry,22,0.00496,0.794,0.18,-4.312,0.0514,0.447,0.743
141,Womanizer,Britney Spears,23,0.073,0.724,0.0889,-5.226,0.0622,0.235,0.695
142,Circus,Britney Spears,23,0.147,0.791,0.0713,-5.215,0.052,0.761,0.733
143,Out from Under,Britney Spears,23,0.379,0.543,0.112,-10.463,0.0352,0.384,0.46
144,Till the World Ends,Britney Spears,23,0.0228,0.693,0.202,-5.747,0.0665,0.45,0.705
145,Hold It Against Me,Britney Spears,23,0.0103,0.648,0.24,-4.813,0.0427,0.389,0.722
146,Inside Out,Britney Spears,23,0.226,0.627,0.107,-5.656,0.0612,0.53,0.713
147,Tapp,3OH!3,24,0.00276,0.865,0.367,-6.607,0.367,0.106,0.798
148,Punkb*Tch,3OH!3,24,0.0147,0.593,0.145,-3.472,0.102,0.568,0.832
149,Beaumont,3OH!3,24,0.000835,0.503,0.149,-7.589,0.0528,0.156,0.457
150,I Can Do Anything,3OH!3,24,0.00247,0.54,0.368,-4.652,0.236,0.438,0.906
151,My First Kiss (feat. Ke$ha),3OH!3,24,0.00587,0.68,0.28,-5.287,0.0768,0.841,0.861
152,Beaumont,3OH!3,24,0.000835,0.503,0.149,-7.589,0.0528,0.156,0.457
153,I Can Do Anything,3OH!3,24,0.00247,0.54,0.368,-4.652,0.236,0.438,0.906
154,My First Kiss (feat. Ke$ha),3OH!3,24,0.00587,0.68,0.28,-5.287,0.0768,0.841,0.861
155,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,25,0.00704,0.676,0.0542,-2.332,0.0493,0.204,0.991
156,Little Bad Girl (feat. Taio Cruz & Ludacris),David Guetta,25,0.00572,0.668,0.358,-2.748,0.0334,0.648,0.829
157,Turn Me On (feat. Nicki Minaj),David Guetta,25,0.00622,0.787,0.168,-1.868,0.0845,0.604,0.887
158,Dangerous (feat. Sam Martin),David Guetta,25,0.417,0.466,0.107,-4.838,0.0795,0.43,0.747
159,What I Did For Love (feat. Emeli Sandé),David Guetta,25,0.107,0.494,0.119,-4.855,0.0416,0.356,0.721
160,No Money No Love (feat. Elliphant & Ms. Dynamite),David Guetta,25,0.0029,0.667,0.167,-3.354,0.0583,0.457,0.886
161,Sexy Bitch (feat. Akon),David Guetta,25,0.076,0.813,0.131,-5.018,0.0486,0.801,0.627
162,Gettin' Over You (feat. Fergie & LMFAO),David Guetta,25,0.178,0.616,0.0773,-5.077,0.0815,0.451,0.913
163,Memories (feat. Kid Cudi),David Guetta,25,0.00147,0.546,0.251,-3.931,0.255,0.38,0.916
164,Stripped Intro,Christina Aguilera,26,0.0696,0.296,0.309,-6.492,0.0727,0.171,0.827
165,Walk Away,Christina Aguilera,26,0.523,0.432,0.608,-6.053,0.102,0.116,0.421
166,Lotus Intro,Christina Aguilera,26,0.101,0.392,0.13,-9.495,0.044,0.204,0.467
167,Army of Me,Christina Aguilera,26,0.0307,0.706,0.0827,-4.566,0.0754,0.155,0.784
168,Red Hot Kinda Love,Christina Aguilera,26,0.00216,0.692,0.0622,-3.931,0.0431,0.382,0.8
169,Dog Days Are Over,Florence + The Machine,27,0.0241,0.487,0.115,-5.265,0.0935,0.188,0.838
170,Rabbit Heart (Raise It Up),Florence + The Machine,27,0.092,0.625,0.266,-3.483,0.0462,0.418,0.858
171,Only If for a Night,Florence + The Machine,27,0.0441,0.482,0.0921,-5.988,0.0346,0.378,0.727
172,Shake It Out,Florence + The Machine,27,0.122,0.571,0.74,-4.528,0.0362,0.261,0.691
173,What the Water Gave Me,Florence + The Machine,27,0.00681,0.483,0.112,-6.41,0.0316,0.187,0.572
174,Ship To Wreck,Florence + The Machine,27,0.00147,0.564,0.277,-3.843,0.0325,0.587,0.923
175,What Kind of Man,Florence + The Machine,27,0.0229,0.313,0.129,-4.676,0.0431,0.224,0.635
176,"How Big, How Blue, How Beautiful",Florence + The Machine,27,0.605,0.372,0.177,-4.941,0.0324,0.0825,0.539
177,How Do You Do,Shakira,28,0.139,0.628,0.245,-4.662,0.065,0.438,0.686
178,Illegal (feat. Carlos Santana),Shakira,28,0.664,0.673,0.115,-8.254,0.0428,0.594,0.414
179,Hips Don't Lie (feat. Wyclef Jean),Shakira,28,0.284,0.778,0.405,-5.892,0.0712,0.756,0.824
180,Objection (Tango),Shakira,28,0.0147,0.603,0.0246,-5.282,0.0677,0.705,0.864
181,Underneath Your Clothes,Shakira,28,0.686,0.616,0.104,-5.328,0.0415,0.362,0.597
182,"Whenever, Wherever",Shakira,28,0.236,0.793,0.202,-4.862,0.0406,0.872,0.832
183,En Tus Pupilas,Shakira,28,0.442,0.654,0.112,-12.454,0.0326,0.303,0.309
184,La Pared,Shakira,28,0.638,0.755,0.102,-7.101,0.0329,0.615,0.688
185,La Tortura (feat. Alejandro Sanz),Shakira,28,0.0297,0.74,0.123,-5.367,0.0427,0.812,0.783
186,Intro,Tinie Tempah,29,0.000504,0.476,0.226,-5.314,0.131,0.273,0.858
187,Simply Unstoppable,Tinie Tempah,29,0.0251,0.503,0.161,-3.148,0.273,0.841,0.942
188,Pass Out,Tinie Tempah,29,0.0281,0.693,0.143,-3.261,0.296,0.532,0.891
189,Sexy Beast (Freestyle),Tinie Tempah,29,0.049,0.691,0.13,-11.7,0.246,0.453,0.65
190,Big Money,Tinie Tempah,29,0.00687,0.524,0.177,-11.109,0.222,0.439,0.62
191,Body Language,Tinie Tempah,29,0.0667,0.554,0.164,-11.323,0.519,0.0648,0.897
192,56 Bars (Intro),T.I.,30,0.148,0.522,0.367,-3.859,0.28,0.415,0.902
193,Ready for Whatever,T.I.,30,0.00844,0.602,0.285,-5.882,0.0966,0.292,0.71
194,The Introduction,T.I.,30,0.00528,0.588,0.16,-5.646,0.174,0.393,0.752
195,G Season (feat. Meek Mill),T.I.,30,0.0137,0.662,0.244,-4.91,0.132,0.446,0.708
196,Trap Back Jumpin,T.I.,30,0.000243,0.771,0.271,-5.772,0.0719,0.119,0.657
