Sno,Song,Artist,ArtistID,acousticness,danceability,liveness,loudness,speechiness,valence,energy,Cluster
52,Feel Again,OneRepublic,8,0.0201,0.47100000000000003,0.105,0.7722095671981778,0.0538,0.363,0.8220000000000001,3
53,Harlem's Nocturne,Alicia Keys,9,0.345,0.48700000000000004,0.177,0.7148974943052393,0.0883,0.331,0.63,2
54,Karma,Alicia Keys,9,0.0743,0.727,0.0347,0.827304479878512,0.0615,0.687,0.736,1
55,Heartburn,Alicia Keys,9,0.218,0.7170000000000001,0.0378,0.7390432801822325,0.365,0.8390000000000001,0.63,1
56,The Element of Freedom (Intro),Alicia Keys,9,0.6459999999999999,0.0,0.146,0.0,0.0,0.0,0.0498,2
57,Love Is Blind,Alicia Keys,9,0.282,0.512,0.3,0.8082611996962796,0.0316,0.35,0.5539999999999999,3
58,Once In a Lifetime,Flo Rida,11,0.182,0.7070000000000001,0.0835,0.8774183750949129,0.11599999999999999,0.326,0.865,1
59,My House,Flo Rida,11,0.0215,0.688,0.128,0.8701594533029615,0.0499,0.74,0.7020000000000001,1
60,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,11,0.0242,0.8540000000000001,0.0793,0.8730447987851179,0.141,0.784,0.7659999999999999,1
61,Finally Here,Flo Rida,11,0.0352,0.6759999999999999,0.171,0.8467425968109341,0.22,0.316,0.82,1
62,Jump (feat. Nelly Furtado),Flo Rida,11,0.00439,0.731,0.26,0.7919817767653761,0.065,0.49700000000000005,0.813,1
63,Gotta Get It (Dancer),Flo Rida,11,0.0262,0.728,0.136,0.8744419134396357,0.0415,0.917,0.83,1
64,American Superstar (feat. Lil Wayne),Flo Rida,11,0.0862,0.703,0.11900000000000001,0.8692179195140473,0.0674,0.42100000000000004,0.784,1
65,Elevator (feat. Timbaland),Flo Rida,11,0.109,0.812,0.214,0.833014426727411,0.0905,0.47,0.8740000000000001,1
66,31 Minutes to Takeoff,Mike Posner,12,0.851,0.6859999999999999,0.066,0.6583143507972666,0.0312,0.34,0.42200000000000004,2
67,Please Don't Go,Mike Posner,12,0.00296,0.6990000000000001,0.13,0.8973728170083525,0.0311,0.657,0.882,1
68,Bow Chicka Wow Wow,Mike Posner,12,0.318,0.626,0.0429,0.8522703113135917,0.0534,0.523,0.67,1
69,"At Night, Alone.",Mike Posner,12,0.332,0.0,0.217,0.08406985573272607,0.0,0.0,0.0319,2
70,I Took a Pill in Ibiza,Mike Posner,12,0.0347,0.6709999999999999,0.0801,0.6005466970387245,0.102,0.755,0.541,1
71,Not That Simple,Mike Posner,12,0.0912,0.7170000000000001,0.156,0.7621564160971908,0.0632,0.529,0.807,1
72,Drug Dealer Girl,Mike Posner,12,0.0546,0.845,0.10800000000000001,0.8941230068337132,0.0798,0.455,0.5660000000000001,1
73,Cooler Than Me,Mike Posner,12,0.179,0.768,0.7040000000000001,0.8750797266514808,0.0475,0.625,0.82,0
74,Red Button,Mike Posner,12,0.0452,0.888,0.102,0.8799392558845864,0.20199999999999999,0.7809999999999999,0.5920000000000001,1
75,Like a G6,Far East Movement,13,0.0067599999999999995,0.435,0.11699999999999999,0.7688990129081248,0.449,0.778,0.8370000000000001,3
76,Like a G6,Far East Movement,13,0.0067599999999999995,0.435,0.11699999999999999,0.7688990129081248,0.449,0.778,0.8370000000000001,3
77,Live My Life (feat. Justin Bieber),Far East Movement,13,0.00223,0.831,0.18899999999999997,0.7295064540622629,0.0503,0.588,0.36700000000000005,1
78,Intro,Usher,14,0.22399999999999998,0.358,0.41200000000000003,0.590979498861048,0.0458,0.215,0.45899999999999996,0
79,Yeah!,Usher,14,0.0183,0.894,0.0388,0.8729840546697041,0.11199999999999999,0.583,0.7909999999999999,1
80,Throwback (feat. Jadakiss),Usher,14,0.000542,0.655,0.136,0.850144267274108,0.129,0.319,0.7509999999999999,1
81,Scream,Usher,14,0.00117,0.616,0.179,0.8583750949126805,0.0973,0.569,0.862,3
82,Climax,Usher,14,0.547,0.647,0.156,0.747304479878512,0.0782,0.33299999999999996,0.478,2
83,You Make Me Wanna...,Usher,14,0.0359,0.7609999999999999,0.0945,0.785573272589218,0.0539,0.922,0.639,1
84,Just Like Me,Usher,14,0.00939,0.645,0.899,0.7237965072133639,0.0615,0.8029999999999999,0.6579999999999999,0
85,Nice & Slow,Usher,14,0.153,0.8190000000000001,0.3,0.6523310554290055,0.122,0.515,0.299,1
